afiat,https://kbbi.kata.web.id/afiat/,afi.at,sehat: syukurlah engkau dalam keadaan sehat dan afiat
afirmatif,https://kbbi.kata.web.id/afirmatif/,afir.ma.tif,bersifat menguatkan atau mengesahkan
afotik,https://kbbi.kata.web.id/afotik/,afo.tik,tanpa sinar (msl daerah laut yang dalam atau gua)
agam,https://kbbi.kata.web.id/agam/,,tidak ada akhir; larut
agamais,https://kbbi.kata.web.id/agamais/,aga.ma.is,agamawi
agamawi,https://kbbi.kata.web.id/agamawi/,aga.ma.wi,bersifat agama: bangsa kita adalah bangsa yang agamawi
agentif,https://kbbi.kata.web.id/agentif/,agen.tif,istilah linguistik bersifat pelaku; sebagai pelaku
agraris,https://kbbi.kata.web.id/agraris/,ag.ra.ris,(1) mengenai pertanian atau tanah pertanian; (2) mengenai pertanian atau cara hidup petani; (3) bersifat pertanian: negeri kita adalah negara agraris
agregatif,https://kbbi.kata.web.id/agregatif/,ag.re.ga.tif,bersifat agregasi: pengekangan terhadap kecen-derungan impor harus tetap dilakukan dengan pengendalian permintaan domestik secara agregatif
agresif,https://kbbi.kata.web.id/agresif/,ag.re.sif,"(1) bersifat atau bernafsu menyerang; (2) istilah psikologi cenderung (ingin) menyerang sesuatu yang dipandang sebagai hal atau situasi yang mengecewakan, menghalangi, atau menghambat"
agresif ofensif,https://kbbi.kata.web.id/agresif-ofensif/,,"bersifat maju dan menyerang dalam suatu kegiatan (ekonomi, politik, olahraga, dan sebagainya) "
agung,https://kbbi.kata.web.id/agung/,,besar; mulia; luhur: kita kedatangan tamu agung dari negara tetanggalihat gung
ahistoris,https://kbbi.kata.web.id/ahistoris/,ahis.to.ris,berlawanan dengan sejarah: memahami kultur lama tanpa memedulikan aspirasi sejarah yang melahirkannya adalah sikap yang ahistoris
ahmak,https://kbbi.kata.web.id/ahmak/,ah.mak,klasik bodoh; kurang pikir: orang ahmak; pikiran yang ahmak
ahsan,https://kbbi.kata.web.id/ahsan/,ah.san,lebih baik
ajab,https://kbbi.kata.web.id/ajab/,,heranlihat azab
akademik,https://kbbi.kata.web.id/akademik/,aka.de.mik,akademis
akademis,https://kbbi.kata.web.id/akademis/,aka.de.mis,"(1) mengenai (berhubungan dengan) akademi: soal-soal akademis; (2) bersifat ilmiah; bersifat ilmu pengetahuan; bersifat teori, tanpa arti praktis yang langsung: pelajaran yang diberikan terlalu akademis"
akak,https://kbbi.kata.web.id/akak/,,cakapan (tidak baku) kakak
akar,https://kbbi.kata.web.id/akar/,,"sama dengan c), berarti cn = a, jadi"
akas,https://kbbi.kata.web.id/akas/,,tangkas gerak-geriknya; gesit; cekatan: anak ini akas menarilihat akasa
akhlaki,https://kbbi.kata.web.id/akhlaki/,akh.la.ki,(1) memiliki akhlak (budi pekerti); (2) bersifat akhlak
akil,https://kbbi.kata.web.id/akil/,,arkais (tidak lazim) berakal; cerdik; pandai
akli,https://kbbi.kata.web.id/akli/,ak.li,bersifat akal; berhubungan dengan akal
